Lvl,Essence
130,12025
131,12145
132,12265
133,12385
134,12505
135,12625
136,12745
137,12865
138,12985
139,13105
140,13230
141,13350
142,13470
143,13590
144,13710
145,13830
146,13950
147,14070
148,14190
149,14310
150,14430
151,14550
152,14670
153,14790
154,14910
155,15030
156,15150
157,15270
158,15390
159,15510
160,15635
161,15755
162,15875
163,15995
164,16115
165,16235
166,16355
167,16475
168,16595
169,16715
170,16835
171,16955
172,17075
173,17195
174,17315
175,17435
176,17555
177,17675
178,17795
179,17915
180,18040
181,18160
182,18280
183,18400
184,18520
185,18640
186,18760
187,18880
188,19000
189,19120
190,19240
191,19360
192,19480
193,19600
194,19720
195,19840
196,19960
197,20080
198,20200
199,20320
200,20445
201,20565
202,20685
203,20805
204,20925
205,21045
206,21165
207,21285
208,21405
209,21525
210,21645
211,21765
212,21885
213,22005
214,22125
215,22245
216,22365
217,22485
218,22605
219,22725
220,22850
221,22970
222,23090
223,23210
224,23330
225,23450
226,23570
227,23690
228,23810
229,23930
