Lvl,Pet
130,57300
131,58500
132,59600
133,60800
134,61900
135,63100
136,64200
137,65400
138,66500
139,67700
140,68800
141,69900
142,71100
143,72200
144,73400
145,74500
146,75700
147,76800
148,78000
149,79100
150,80300
151,81400
152,82600
153,83700
154,84900
155,86000
156,87200
157,88300
158,89500
159,90600
160,91700
161,92900
162,94000
163,95200
164,96300
165,97500
166,98600
167,99800
168,100000
169,102000
170,103000
171,104000
172,105000
173,106000
174,107000
175,109000
176,110000
177,111000
178,112000
179,113000
180,114000
181,115000
182,117000
183,118000
184,119000
185,120000
186,121000
187,122000
188,123000
189,125000
190,126000
191,127000
192,128000
193,129000
194,130000
195,131000
196,133000
197,134000
198,135000
199,136000
200,137000
201,138000
202,139000
203,141000
204,142000
205,143000
206,144000
207,145000
208,146000
209,148000
210,149000
211,150000
212,151000
213,152000
214,153000
215,154000
216,156000
217,157000
218,158000
219,159000
220,160000
221,161000
222,162000
223,164000
224,165000
225,166000
226,167000
227,168000
228,169000
229,170000
