Lvl,Rolla Stone Cost,Rolla Wood Cost,Rolla Output,Wood Stone Cost,Wood Wood Cost,Wood Output,Stone Stone Cost,Stone Wood Cost,Stone Output,Ore Stone Cost,Ore Wood Cost,Ore Output,Essence Stone Cost,Essence Wood Cost,Essence Output,Sand Stone Cost,Sand Wood Cost,Sand Output,Pet Stone Cost,Pet Wood Cost,Pet Output
72,4735,3120,8100,5525,2340,405,2340,5525,405,5130,2730,810,3155,4680,1012,2760,5065,648,3945,3900,81
73,4785,3150,8200,5585,2360,410,2360,5585,410,5185,2755,820,3190,4725,1025,2790,5115,656,3990,3935,82
74,4790,3155,8300,5590,2365,415,2365,5590,415,5190,2760,830,3195,4735,1037,2795,5130,664,3996,3945,83
75,4845,3190,8400,5650,2390,420,2390,5650,420,5245,2790,840,3230,4780,1050,2825,5180,672,4035,3985,84
76,4900,3195,8500,5720,2395,425,2395,5720,425,5310,2795,850,3265,4790,1062,2860,5190,680,4085,3990,85
77,4960,3230,8600,5785,2420,430,2420,5785,430,5310,2795,860,3305,4845,1075,2890,5250,688,4130,4035,86
78,5365,3555,8700,6260,2665,435,2665,6260,435,5815,3110,870,3575,5330,1087,3130,5775,696,4470,4445,87
79,5425,3595,8800,6330,2695,440,2695,6330,440,5880,3145,880,3620,5390,1100,3165,5840,704,4520,4495,88
80,5485,3635,8900,6400,2725,445,2725,6400,445,5945,3180,890,3660,5455,1112,3200,5905,712,4575,4545,89
81,5550,3675,9000,6475,2755,450,2755,6475,450,6010,3215,900,3700,5515,1125,3235,5975,720,4625,4595,90
82,5610,3715,9100,6545,2785,455,2785,6545,455,6075,3250,910,3740,5575,1137,3270,6040,728,4645,4675,91
83,6660,4455,9200,7765,3340,460,3340,7765,460,7210,3900,920,4440,6685,1150,3885,7240,736,5550,5570,92
84,6730,4505,9300,7850,3380,465,3380,7850,465,7290,3940,930,4485,6755,1162,3925,7320,744,5610,5630,93
85,6800,4550,9400,7935,3415,470,3415,7935,470,7365,3980,940,4535,6825,1175,3965,7395,752,5665,5690,94
86,6870,4600,9500,8020,3450,475,3450,8020,475,7445,4025,950,4580,6900,1187,4010,7475,760,5725,5750,95
87,6945,4645,9600,8100,3485,480,3485,8100,480,7525,4065,960,4630,6970,1200,4050,7550,768,5785,5810,96
88,7235,4825,9700,8440,3620,485,3620,8440,485,7835,4225,970,4820,7240,1212,4220,7845,776,6025,6035,97
89,7305,4875,9800,8525,3655,490,3655,8525,490,7915,4265,980,4870,7315,1225,4260,7925,784,6090,6095,98
90,7380,4925,9900,8610,3695,495,3695,8610,495,7995,4310,990,4920,7385,1237,4305,8005,792,6150,6155,99
91,7453,4975,10000,8695,3730,500,3730,8695,500,8075,4350,1000,4970,7460,1250,4350,8085,800,6210,6220,100
92,7530,5010,10100,8785,3735,505,3735,8785,505,8155,4380,1010,5020,7510,1262,4390,8135,808,6275,6260,101
93,7555,5025,10200,8815,3770,510,3770,8815,510,8185,4395,1020,5035,7535,1275,4405,8165,816,6295,6280,102
94,7625,5055,10300,8900,3790,515,3790,8900,515,8265,4425,1030,5085,7585,1287,4450,8215,824,6355,6320,103
95,7700,5105,10400,8985,3830,520,3830,8985,520,8340,4465,1040,5135,7655,1300,4490,8295,832,6415,6380,104
96,7775,5155,10500,9070,3865,525,3865,9070,525,8420,4510,1050,5185,7730,1312,4535,8375,840,6480,6440,105
97,7845,5200,10600,9155,3900,530,3900,9155,530,8500,4550,1060,5230,7805,1325,4580,8455,848,6540,6505,106
98,8165,5445,10700,9525,4085,535,4085,9525,535,8845,4765,1070,5445,8165,1337,4765,8845,856,6805,6805,107
99,8240,5495,10800,9615,4120,540,4120,9615,540,8930,4805,1080,5495,8240,1350,4805,8930,864,6870,6865,108
100,8315,5545,10900,9705,4160,545,4160,9705,545,9010,4850,1090,5545,8315,1362,4850,9010,872,6930,6930,109
101,8395,5595,11000,9790,4195,550,4195,9790,550,9090,4895,1100,5595,8390,1375,4895,9090,880,6995,6995,110
102,8470,5645,11100,9880,4235,555,4235,9880,555,9175,4940,1110,5645,8470,1387,4940,9175,888,7055,7055,111
103,8545,5695,11200,9970,4270,560,4270,9970,560,9255,4985,1120,5695,8545,1400,4985,9255,896,7120,7120,112
