Lvl,Essence
160,19225
161,19415
162,19610
163,19800
164,19995
165,20185
166,20380
167,20570
168,20765
169,20955
170,21150
171,21340
172,21530
173,21725
174,21915
175,22110
176,22300
177,22495
178,22685
179,22880
180,23070
181,23265
182,23455
183,23650
184,23840
185,24035
186,24225
187,24420
188,24610
189,24805
190,24995
191,25185
192,25375
193,25570
194,25760
195,25955
196,26145
197,26340
198,26530
199,26725
200,26915
201,27110
202,27300
203,27495
204,27685
205,27880
206,28070
207,28265
208,28455
209,28650
210,28840
211,29030
212,29220
213,29415
214,29605
215,29800
216,29990
217,30185
218,30375
219,30570
220,30760
221,30955
222,31145
223,31340
224,31530
225,31725
226,31915
227,32110
228,32300
229,32495
230,32685
231,32875
232,33065
233,33260
234,33450
235,33655
236,33835
237,34030
238,34220
239,34415
240,34605
241,34795
242,34990
243,35180
244,35375
245,35565
246,35760
247,35950
248,36145
249,36335
250,36530
251,36720
252,36915
253,37105
254,37300
255,37490
256,37685
257,37875
258,38070
259,38260
260,38450
261,38640
262,38835
263,39025
264,39220
265,39410
266,39605
267,39795
268,39990
269,40180
270,40375
271,40565
272,40760
273,40950
274,41145
275,41335
276,41525
277,41720
278,41910
279,42105
280,42295
281,42485
282,42680
283,42870
284,43065
285,43255
286,43450
287,43640
288,43835
289,44025
290,44220
291,44410
292,44605
293,44795
294,44990
295,45180
296,45375
297,45565
298,45760
299,45950
300,46140
301,46330
302,46525
303,46715
304,46910
305,47100
306,47295
307,47485
308,47680
309,47870
310,48065
311,48255
312,48450
313,48640
314,48835
315,49025
316,49215
317,49410
318,49600
319,49795
320,49985
321,50175
322,50370
323,50560
324,50755
325,50945
326,51140
327,51330
328,51525
329,51715
330,51910
331,52100
332,52295
333,52485
334,52680
335,52870
336,53065
337,53255
338,53450
339,53640
