Lvl,Exp
160,4496
161,4876
162,5260
163,5639
164,6022
165,6398
166,6799
167,7193
168,7603
169,8019
170,8060
171,8100
172,8141
173,8168
174,8182
175,8222
176,8263
177,8290
178,8330
179,8371
180,8398
181,8438
182,8465
183,8492
184,8533
185,8560
186,8587
187,8628
188,8655
189,8682
190,8695
191,8723
192,8750
193,8791
194,10300
195,11400
196,11400
197,11400
198,11400
199,11500
200,11500
201,11500
202,11600
203,11600
204,11600
205,11700
206,11700
207,11700
208,11800
209,11800
210,11800
211,11900
212,11900
213,11900
214,12000
215,12000
216,12000
217,12100
218,12100
219,10500
220,10600
221,10600
222,10700
223,10700
224,10700
225,10800
226,10800
227,10900
228,10900
229,10900
230,11000
231,11000
232,11000
233,11000
234,11000
235,11000
236,11000
237,11000
238,11200
239,11200
240,11200
241,11300
242,11300
243,11300
244,11300
245,11400
246,11400
247,11400
248,11400
249,11400
250,11400
251,11400
252,11400
253,11400
254,11400
255,11400
256,11400
257,11400
258,11400
259,11400
260,11400
261,11400
262,11400
263,11400
264,11400
265,11400
266,11400
267,11400
268,11400
269,11400
270,11400
271,11400
272,11400
273,11400
274,11400
275,11400
276,11400
277,11400
278,11400
279,11400
280,11400
281,11400
282,11400
283,11400
284,11400
285,11400
286,11400
287,11400
288,11400
289,11400
290,11400
291,11400
292,11400
293,11400
294,11400
295,11400
296,11400
297,11400
298,11400
299,11400
300,11400
301,11400
302,11400
303,11400
304,11400
305,11400
306,11400
307,11400
308,11400
309,11400
