Lvl,Ore
160,26000
161,26260
162,26520
163,26780
164,27040
165,27300
166,27560
167,27820
168,28080
169,28340
170,28600
171,28860
172,29120
173,29380
174,29640
175,29900
176,30160
177,30420
178,30680
179,30940
180,31200
181,31460
182,31720
183,31980
184,32240
185,32500
186,32760
187,33020
188,33280
189,33540
190,33800
191,34060
192,34320
193,34580
194,34840
195,35100
196,35360
197,35620
198,35880
199,36140
200,36400
201,36660
202,36920
203,37180
204,37440
205,37700
206,37960
207,38220
208,38480
209,38740
210,39000
211,39260
212,39520
213,39780
214,40040
215,40300
216,40560
217,40820
218,41080
219,41340
220,41600
221,41860
222,42120
223,42380
224,42640
225,42900
226,43160
227,43420
228,43680
229,43940
230,44200
231,44460
232,44720
233,44980
234,45240
235,45500
236,45760
237,46020
238,46280
239,46540
240,46800
241,47060
242,47320
243,47580
244,47840
245,48100
246,48360
247,48620
248,48880
249,49140
250,49400
251,49660
252,49920
253,50180
254,50440
255,50700
256,50960
257,51220
258,51480
259,51740
260,52000
261,52260
262,52520
263,52780
264,53040
265,53300
266,53560
267,53820
268,54080
269,54340
270,54600
271,54860
272,55120
273,55380
274,55640
275,55900
276,56160
277,56420
278,56680
279,56940
280,57200
281,57460
282,57720
283,57980
284,58240
285,58500
286,58760
287,59020
288,59280
289,59540
290,59800
291,60060
292,60320
293,60580
294,60840
295,61100
296,61360
297,61620
298,61880
299,62140
300,62400
301,62660
302,62920
303,63180
304,63440
305,63700
306,63960
307,64220
308,64480
309,64740
310,64740
311,64740
312,64740
313,64740
314,64740
315,64740
316,64740
317,64740
318,64740
319,64740
320,64740
321,64740
322,64740
323,64740
324,64740
325,64740
326,64740
327,64740
328,64740
329,64740
330,64740
331,64740
332,64740
333,64740
334,64740
335,64740
336,64740
337,64740
338,64740
339,64740
340,64740
341,64740
342,64740
343,64740
344,64740
345,64740
346,64740
347,64740
348,64740
349,64740
350,64740
351,64740
352,64740
353,64740
354,64740
355,64740
356,64740
357,64740
358,64740
359,64740
360,64740
361,64740
362,64740
363,64740
364,64740
365,64740
366,64740
367,64740
368,64740
369,64740
370,64740
371,64740
372,64740
373,64740
374,64740
375,64740
376,64740
377,64740
378,64740
379,64740
380,64740
381,64740
382,64740
383,64740
384,64740
385,64740
386,64740
387,64740
388,64740
389,64740
390,64740
391,64740
392,64740
393,64740
394,64740
395,64740
396,64740
397,64740
398,64740
399,64740
400,64740
401,64740
402,64740
403,64740
404,64740
405,64740
406,64740
407,64740
408,64740
409,64740
410,64740
411,64740
412,64740
413,64740
414,64740
415,64740
416,64740
417,64740
418,64740
419,64740
