Lvl,Pet
160,177000
161,180000
162,184000
163,187000
164,191000
165,195000
166,198000
167,202000
168,206000
169,209000
170,212000
171,216000
172,219000
173,223000
174,226000
175,230000
176,234000
177,237000
178,241000
179,244000
180,248000
181,251000
182,255000
183,258000
184,262000
185,265000
186,269000
187,273000
188,276000
189,280000
190,283000
191,287000
192,290000
193,294000
194,297000
195,301000
196,304000
197,308000
198,312000
199,315000
200,319000
201,322000
202,326000
203,329000
204,333000
205,336000
206,340000
207,344000
208,347000
209,351000
210,354000
211,356000
212,358000
213,359000
214,361000
215,363000
216,365000
217,367000
218,368000
219,370000
220,372000
221,374000
222,375000
223,377000
224,379000
225,381000
226,383000
227,384000
228,386000
229,388000
230,390000
231,391000
232,393000
233,395000
234,397000
235,398000
236,400000
237,402000
238,404000
239,406000
240,407000
241,409000
242,411000
243,413000
244,414000
245,416000
246,481000
247,420000
248,422000
249,423000
250,425000
251,427000
252,429000
253,430000
254,432000
255,434000
256,436000
257,437000
258,439000
259,441000
260,443000
261,445000
262,446000
263,448000
264,450000
265,452000
266,453000
267,455000
268,457000
269,459000
270,461000
271,462000
272,464000
273,466000
274,468000
275,469000
276,471000
277,473000
278,475000
279,476000
280,478000
281,480000
282,482000
283,484000
284,485000
285,487000
286,489000
287,491000
288,492000
289,494000
290,496000
291,498000
292,500000
293,501000
294,503000
295,505000
296,507000
297,508000
298,510000
299,512000
