Skill,Class,Type,CD,Description,Base,%,Rare,Epic,Legendary,Mythic,Divine,Immortal
Blazing Fire Ring,Mage,Technique,1,Deals Fire DMG once to all enemies within 2 grids of the caster.,Legendary,DMG,,,68.80,86.00,106.63,137.59
Cyclone,Mage,Technique,1,"Selects a grid within 6 grids of the caster. Deals Wind DMG once to all enemies within 2 grids of the target grid, knocking them airborne and pulling them to the target grid.",Epic,DMG,,30.58,38.22,47.77,59.24,76.44
Fireball,Mage,Technique,1,Selects a grid within 5 grids of the caster. Deals Fire DMG once to all enemies within a 1-grid square area of the target grid.,Epic,DMG,,51.52,64.40,80.50,99.82,128.80
Flame Jet,Mage,Technique,1,Deals Fire DMG 3 times to all enemies in a 1×3 grid area in front of the caster.,Rare,DMG,23.84,27.24,34.05,42.57,52.79,68.11
Healing Touch,Mage,Technique,1,Heals 1 ally within 5 grids of the caster once and dispels 1 random ailment or debuff from them.,Epic,Heal Bonus,,2.10,2.40,2.62,3.00,3.45
Ice Spike,Mage,Technique,1,"Deals Water DMG once to all enemies in a 1×5 grid area in front of the caster, with a 40% base chance to inflict Frozen for 1 turn.",Rare,DMG,47.87,54.71,68.39,85.49,106.00,136.78
Iron Thorn,Mage,Technique,1,"Selects a grid within 3 grids of the caster. Deals Wind DMG once to all enemies within 1 grid of the target grid, with a 30% base chance to inflict Immobilize for 1 turn.",Rare,DMG,51.45,58.80,73.50,91.88,113.92,113.92
Stonechief Summon,Mage,Technique,5,Summons a Stonechief in front of the caster that immediately acts. The summon inherits a percentage of the caster's stats and remains for up to 5 turns. (Zero Initial CD),Epic,,,,,,,
Tempest Sphere,Mage,Technique,1,Deals Wind DMG 5 times to 1 enemy within 3 to 5 grids of the caster.,Epic,DMG,,17.19,21.48,26.85,33.30,42.97
Void Blessing,Mage,Technique,2,"Selects a grid within 4 grids of the caster. Increases max HP of all allied characters within 2 grids of the target grid by a percentage of the caster's Max HP for 3 turns. This effect is unique. If the target's HP is below 30%, additionally performs a 5% healing. (Casts once before battle starts.)",Legendary,HP,,,12.80,16.00,19.20,22.40
Water Assault,Mage,Technique,1,Deals Water DMG once to all enemies in a 3×4 grid area in front of the caster. DMG decreases by 25% for each subsequent hit on the same target. (Large targets may take multiple hits.),Legendary,DMG,,,45.09,56.37,69.90,90.19
Water Shot,Mage,Technique,0,Deals Water DMG once to 1 enemy within 4 grids of the caster.,Rare,DMG,43.61,49.83,62.29,77.87,96.55,124.59
Wind's Delight,Mage,Technique,1,Selects a grid within 6 grids of the caster. Launches 7 waves of wind blades at the target grid and random enemies within 1 grid to the target grid's left and right. Each wave deals Wind DMG once to all enemies within 1 grid of the enemy target. DMG decreases by 35% for each subsequent hit on the same target.,Legendary,DMG,,,32.34,40.42,50.13,64.68
Curse Resonance,Mage,Charm,,"For each ailment or debuff the target carries, Technique DMG dealt by the caster to that target increases. Stacks up to 3 times.",Epic,DMG Bonus,,4.50,6.00,7.50,9.00,10.50
Dew's Blessing,Mage,Charm,,Increases the caster's Water Affinity.,Rare,,,,,,,
Elemental Body,Mage,Charm,,Increases the caster's Elemental RES.,Epic,,,,,,,
Elemental Mystery,Mage,Charm,,Increases the caster's Elemental Mastery.,Rare,,,,,,,
Flaming Path,Mage,Charm,,"When the caster starts to move in their turn, there is a 30% chance to inflict Burn to grids within 1 grid of the caster.",Legendary,Burn DMG,,,42.00,52.50,65.10,84.00
Gale Shield,Mage,Charm,,"Grants a shield based on the caster's max HP before battle starts. When the shield disappears, deals Wind DMG once to all enemies within a 1-grid square area of the caster, with a 100% base chance to knock them back by 1 grid.",Legendary,Shield HP,,,,,,
Heart of Flame,Mage,Charm,,Increases the caster's Fire Affinity.,Rare,,,,,,,
Insight,Mage,Charm,,Increases the caster's Effect Hit Rate.,Epic,,,,,,,
Mana Surge,Mage,Charm,,Increases the caster's Crit Rate.,Epic,,,,,,,
Tough Soul,Mage,Charm,,Increases the caster's HP.,Epic,,,,,,,
Unstable Aura,Mage,Charm,,"When the caster's Technique deals DMG to an enemy, there's a 25% chance to trigger Aura, dealing additional Wind DMG once, with a 60% base chance to knock them back by 1 grid.",Rare,DMG,22.05,25.20,31.50,39.38,48.83,63.00
